ID; number_of_messages; mean_time
4;25;275.188
7;1;0
8;29;244.998
37;33;222.162
70;3;1462.75
265;4;1507.11
296;4;1640.28
385;31;231.474
386;30;237.694
513;25;275.949
514;27;276.917
516;3;1434.21
519;7;925.187
548;26;282.316
551;7;924.3
583;1;0
773;7;927.356
775;1;0
776;4;1638.55
805;7;930.533
808;4;1641.05
837;4;1639.01
872;4;1703.49
904;4;1703.22
936;4;1702.45
1072;2;2122.99
1089;1;0
