ID; number_of_messages; mean_time
4;29;255.094
5;1;0
8;30;236.335
37;36;194.831
70;3;1767.45
264;1;0
265;3;1855.7
289;1;0
296;3;1814.12
385;23;293.159
386;23;293.078
513;29;254.066
514;29;253.93
516;3;1785.3
519;7;954.83
548;28;257.617
551;7;956.082
773;7;955.552
776;3;1811.45
777;4;97.9204
778;2;2321.31
805;7;959.838
808;3;1808.13
810;2;2299.82
837;3;1810.41
872;3;1789.64
904;3;1790.06
936;3;1785.36
1057;1;0
1072;2;1455.74
